epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,315.966,1.44281,0.88544,0.47048,1.96104,0.89174,0.41224,0.36405,0.44311,0.27054,0.41224,0.36405,0.44303,0.3457,1.13709,1.46458,0.48779,2.59506,0.95676,0.007426,0.007426,0.007426
28,327.264,1.46676,0.94922,0.47501,2.07823,0.93756,0.33039,0.49345,0.46057,0.22912,0.33039,0.49345,0.46762,0.38456,1.50234,1.18289,0.45996,2.43062,1.04604,0.007327,0.007327,0.007327
29,338.452,1.59629,0.93334,0.45888,1.84306,0.91302,0.394,0.48371,0.44841,0.242,0.43198,0.48961,0.48847,0.39555,1.29191,1.19545,0.46104,2.26921,1.00716,0.007228,0.007228,0.007228
30,349.439,1.67971,0.7243,0.45786,1.74658,0.93315,0.60175,0.45825,0.41003,0.1936,0.61307,0.47825,0.45753,0.35923,1.60846,1.31605,0.45235,3.45722,1.11906,0.007129,0.007129,0.007129
31,360.27,2.10544,1.05859,0.47608,2.12774,1.03776,0.58777,0.49476,0.47985,0.28037,0.58777,0.49476,0.49219,0.40496,1.19928,1.13376,0.44002,2.17874,0.99156,0.00703,0.00703,0.00703
32,371.26,1.47535,0.68255,0.45939,1.68136,0.91633,0.59733,0.52851,0.49607,0.19794,0.59733,0.52851,0.50589,0.39935,1.80336,1.28436,0.43915,3.03851,1.1745,0.006931,0.006931,0.006931
33,382.109,2.05958,0.92961,0.44862,1.76419,0.97802,0.45924,0.70022,0.58453,0.33706,0.45889,0.70575,0.58174,0.49201,1.20641,1.10599,0.42525,2.33018,0.99638,0.006832,0.006832,0.006832
34,393.152,1.49366,0.68665,0.42451,1.55907,0.87412,0.62105,0.52034,0.55597,0.32222,0.6151,0.52244,0.60115,0.47943,1.25365,1.15086,0.41767,2.20259,1.01341,0.006733,0.006733,0.006733
35,403.895,1.39014,0.83963,0.44244,1.61247,0.90675,0.67201,0.5239,0.59603,0.34212,0.67201,0.5239,0.63601,0.49571,1.17076,1.1339,0.41238,2.41139,0.96983,0.006634,0.006634,0.006634
36,414.847,1.66194,0.90234,0.42603,1.58411,0.93606,0.57367,0.55961,0.5409,0.30437,0.59277,0.59561,0.59541,0.44728,1.30386,1.12672,0.40409,2.25354,1.03401,0.006535,0.006535,0.006535
37,426.226,1.28939,0.76884,0.41274,1.55297,0.88345,0.60537,0.60932,0.56004,0.33758,0.69556,0.59444,0.65342,0.52819,1.2078,1.09618,0.40134,2.26217,1.01038,0.006436,0.006436,0.006436
38,437.475,1.5088,0.70848,0.42452,1.36167,0.91896,0.6877,0.63454,0.64533,0.36115,0.6877,0.63454,0.65588,0.53569,1.20736,1.03771,0.39199,1.96456,1.01265,0.006337,0.006337,0.006337
39,448.583,1.53212,0.66971,0.41436,1.3796,0.89333,0.70692,0.63445,0.64581,0.36822,0.72815,0.65366,0.6749,0.54405,1.20435,1.05129,0.3848,2.01417,1.01627,0.006238,0.006238,0.006238
40,459.648,1.37463,0.66825,0.41225,1.30332,0.87288,0.73775,0.60315,0.6817,0.37535,0.73775,0.60315,0.6817,0.54681,1.136,0.97553,0.37685,1.942,0.99805,0.006139,0.006139,0.006139
41,470.763,1.31385,0.65038,0.43599,1.31908,0.89842,0.7167,0.6074,0.67573,0.38955,0.7167,0.6074,0.68573,0.5343,1.22785,0.98613,0.36245,1.92991,1.02338,0.00604,0.00604,0.00604
42,481.759,1.16214,0.69951,0.40985,1.19263,0.87879,0.78045,0.61218,0.69063,0.44731,0.76228,0.63487,0.71003,0.58582,1.03931,0.88906,0.35677,1.99554,0.9923,0.005941,0.005941,0.005941
43,492.773,1.28404,0.69046,0.3925,1.25211,0.88749,0.7957,0.60434,0.71773,0.44366,0.7957,0.60434,0.72885,0.59782,1.16897,0.8989,0.34677,1.79218,1.01472,0.005842,0.005842,0.005842
44,503.941,1.05875,0.54099,0.37518,1.19689,0.86503,0.7754,0.61079,0.74,0.40873,0.78407,0.62079,0.75029,0.62782,1.11733,0.85947,0.34168,1.91012,1.00396,0.005743,0.005743,0.005743
45,514.759,1.20067,0.53251,0.38022,1.06508,0.86772,0.79858,0.63123,0.76735,0.49061,0.80726,0.64123,0.77848,0.65388,1.11301,0.83458,0.32614,1.83891,1.00278,0.005644,0.005644,0.005644
46,525.911,1.33405,0.53691,0.36481,1.17636,0.87638,0.78755,0.64068,0.72794,0.39406,0.79716,0.65027,0.79438,0.63907,1.21039,0.83828,0.3227,1.84171,1.04471,0.005545,0.005545,0.005545
47,536.919,1.14396,0.47933,0.37235,1.07311,0.88371,0.86314,0.65139,0.78727,0.48898,0.87211,0.66189,0.79754,0.67043,1.01663,0.83408,0.31186,1.64769,0.97215,0.005446,0.005446,0.005446
48,547.9,1.30095,0.65229,0.37885,1.08412,0.88013,0.74317,0.60548,0.67385,0.37306,0.79637,0.65548,0.78019,0.63246,1.38955,0.87839,0.30764,1.83439,1.06179,0.005347,0.005347,0.005347
49,558.704,1.23712,0.55009,0.36913,1.05003,0.86296,0.86594,0.67271,0.77769,0.50003,0.87474,0.68271,0.80101,0.68207,1.014,0.79478,0.2985,1.65335,0.97267,0.005248,0.005248,0.005248
50,569.649,0.97797,0.42646,0.3496,0.93608,0.84314,0.7708,0.70779,0.75636,0.39137,0.7708,0.70779,0.79374,0.65987,1.44679,0.83338,0.29531,1.81852,1.07968,0.005149,0.005149,0.005149
51,580.448,1.39798,0.54054,0.36035,1.0929,0.89581,0.78979,0.72298,0.82261,0.52645,0.86102,0.70991,0.84928,0.70989,1.03816,0.76887,0.28485,1.6565,0.97449,0.00505,0.00505,0.00505
52,591.394,1.22775,0.52662,0.35098,0.99255,0.85343,0.77793,0.67445,0.77375,0.44492,0.81116,0.69607,0.81129,0.68441,1.27265,0.78402,0.28147,1.80026,1.04037,0.004951,0.004951,0.004951
