timestamp_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,TCP_x_m,TCP_y_m,TCP_z_m,TCP_rx_rad,TCP_ry_rad,TCP_rz_rad
0.000422,-0.016250,-0.006250,0.006250,-0.000625,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.004539,-0.016250,-0.006250,0.006250,-0.000625,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.008504,-0.016250,-0.006250,0.006250,-0.000625,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.012511,-0.016250,-0.006250,0.006250,-0.000625,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.016507,-0.016250,-0.006250,0.006250,-0.000625,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.020504,-0.016250,-0.006250,-0.003750,0.000375,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.024501,-0.016250,-0.006250,-0.003750,0.000375,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.028501,-0.016250,-0.006250,-0.003750,0.000375,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.032502,-0.016250,-0.006250,-0.003750,0.000375,-0.000625,0.000000,0.386000,-0.690000,0.097998,-3.141591,0.000002,0.000002
0.036506,-0.016247,-0.006256,-0.003750,0.000375,-0.000625,-0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.040501,-0.016247,-0.006256,-0.003750,0.000375,-0.000625,-0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.044501,-0.016245,-0.006258,-0.003750,0.000375,-0.000625,-0.000000,0.386000,-0.689994,0.097991,-3.141585,0.000007,0.000007
0.048499,-0.016241,-0.006265,-0.003750,0.000375,-0.000625,-0.000000,0.386002,-0.689986,0.097981,-3.141579,0.000011,0.000009
0.052551,-0.016239,-0.006268,-0.003750,0.000375,-0.000625,-0.000000,0.386005,-0.689974,0.097967,-3.141577,0.000013,0.000016
0.056583,-0.006240,-0.006268,-0.003750,0.000375,0.000375,-0.000000,0.386015,-0.689953,0.097948,-3.141578,0.000013,0.000030
0.060587,-0.006239,-0.006269,-0.003750,0.000375,0.000375,-0.000000,0.386022,-0.689928,0.097923,-3.141577,0.000013,0.000030
