timestamp_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,TCP_x_m,TCP_y_m,TCP_z_m,TCP_rx_rad,TCP_ry_rad,TCP_rz_rad
0.000394,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.004512,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.008518,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.012477,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.016451,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.020550,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.024480,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.028476,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.032478,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.036504,0.000000,-0.005000,-0.005000,0.000000,-0.000125,0.000375,0.386000,-0.690000,0.098002,3.141591,-0.000001,-0.000004
0.040545,0.000003,-0.005006,-0.005000,0.000000,-0.000125,0.000375,0.385999,-0.689999,0.098000,-3.141590,0.000002,-0.000004
0.044537,0.000009,-0.005015,-0.005000,0.000000,-0.000125,0.000375,0.385999,-0.689994,0.097993,-3.141583,0.000008,0.000000
0.048494,0.000010,-0.005017,-0.005001,0.000000,-0.000125,0.000375,0.386003,-0.689987,0.097986,-3.141582,0.000009,0.000009
0.052531,-0.009987,-0.005022,0.005000,0.000000,-0.000125,0.000375,0.386006,-0.689974,0.097975,-3.141578,0.000012,0.000016
0.056527,-0.009979,-0.005036,0.004999,0.000000,-0.000125,0.000375,0.386012,-0.689954,0.097955,-3.141568,0.000021,0.000018
0.060525,-0.009976,-0.005042,0.004999,0.000001,-0.000125,0.000375,0.386021,-0.689927,0.097935,-3.141564,0.000024,0.000030
0.064517,-0.009973,-0.005046,0.004999,0.000001,-0.000125,0.000375,0.386030,-0.689895,0.097915,-3.141560,0.000027,0.000032
0.068488,-0.009974,-0.005046,0.004999,0.000001,-0.000125,0.000375,0.386046,-0.689854,0.097897,-3.141561,0.000027,0.000035
0.072507,-0.009969,-0.005054,0.004999,0.000001,-0.000125,0.000375,0.386062,-0.689803,0.097872,-3.141555,0.000032,0.000039
0.076457,-0.009967,-0.005056,0.004999,0.000001,-0.000125,0.000375,0.386079,-0.689746,0.097849,-3.141553,0.000034,0.000035
0.080464,-0.009964,-0.005063,0.004999,0.000001,-0.000125,0.000375,0.386101,-0.689680,0.097822,-3.141548,0.000038,0.000044
0.084519,-0.009960,-0.005069,0.004999,0.000001,-0.000125,0.000375,0.386123,-0.689608,0.097796,-3.141543,0.000041,0.000045
0.088517,-0.009963,-0.005063,0.004999,0.000001,-0.000125,0.000375,0.386147,-0.689533,0.097773,-3.141548,0.000038,0.000049
0.092520,-0.039965,-0.005061,-0.015001,0.000001,-0.000125,-0.000625,0.386173,-0.689451,0.097745,-3.141549,0.000037,0.000050
0.096515,-0.039962,-0.005067,-0.015001,0.000001,-0.000125,-0.000625,0.386200,-0.689363,0.097718,-3.141545,0.000040,0.000055
0.100502,-0.039958,-0.005073,-0.015002,0.000001,-0.000125,-0.000625,0.386229,-0.689273,0.097692,-3.141541,0.000044,0.000071
0.104504,-0.039959,-0.005071,-0.015002,0.000001,-0.000125,-0.000625,0.386258,-0.689182,0.097675,-3.141542,0.000043,0.000074
0.108504,-0.039954,-0.005081,-0.015002,0.000001,-0.000124,-0.000625,0.386286,-0.689091,0.097653,-3.141535,0.000049,0.000076
0.112479,-0.039950,-0.005087,-0.015002,0.000001,-0.000124,-0.000625,0.386311,-0.689002,0.097636,-3.141530,0.000053,0.000074
0.116500,-0.039940,-0.005105,-0.015002,0.000001,-0.000124,-0.000625,0.386339,-0.688910,0.097615,-3.141517,0.000064,0.000077
0.120512,-0.039935,-0.005112,-0.015002,0.000001,-0.000124,-0.000625,0.386369,-0.688820,0.097600,-3.141511,0.000069,0.000080
0.124504,-0.039935,-0.005112,-0.015002,0.000001,-0.000124,-0.000625,0.386369,-0.688820,0.097600,-3.141511,0.000069,0.000080
0.128518,-0.039934,-0.005115,-0.015003,0.000001,-0.000124,-0.000625,0.386430,-0.688622,0.097565,-3.141509,0.000070,0.000076
0.132476,-0.039932,-0.005118,-0.015003,0.000001,-0.000124,-0.000625,0.386455,-0.688548,0.097553,-3.141507,0.000072,0.000081
0.136513,-0.069933,-0.025117,-0.025003,0.001001,-0.001124,-0.000625,0.386481,-0.688450,0.097537,-3.141508,0.000071,0.000075
0.140511,-0.069941,-0.025103,-0.025002,0.001001,-0.001124,-0.000625,0.386516,-0.688344,0.097522,-3.141519,0.000062,0.000035
0.144522,-0.069948,-0.025090,-0.025002,0.001001,-0.001124,-0.000625,0.386537,-0.688218,0.097503,-3.141528,0.000055,0.000033
0.148513,-0.069964,-0.025063,-0.025002,0.001001,-0.001125,-0.000625,0.386572,-0.688108,0.097492,-3.141548,0.000038,0.000025
0.152510,-0.069973,-0.025048,-0.025001,0.001001,-0.001125,-0.000625,0.386628,-0.687984,0.097478,-3.141559,0.000028,0.000054
0.156513,-0.069985,-0.025026,-0.025001,0.001000,-0.001125,-0.000625,0.386663,-0.687874,0.097465,-3.141575,0.000015,0.000053
0.160530,-0.069994,-0.025011,-0.025000,0.001000,-0.001125,-0.000625,0.386697,-0.687763,0.097450,-3.141586,0.000005,0.000051
0.164512,-0.070003,-0.024994,-0.025000,0.001000,-0.001125,-0.000625,0.386732,-0.687653,0.097434,3.141587,-0.000005,0.000056
0.168515,-0.070001,-0.024999,-0.025000,0.001000,-0.001125,-0.000625,0.386762,-0.687543,0.097416,3.141590,-0.000002,0.000050
