timestamp_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,TCP_x_m,TCP_y_m,TCP_z_m,TCP_rx_rad,TCP_ry_rad,TCP_rz_rad
0.000152,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.004234,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.008239,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.012220,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.016232,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.020220,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.024225,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.028228,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.032225,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.036221,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000000,0.385999,-0.689999,0.097996,-3.141587,0.000005,0.000002
0.040231,0.010003,-0.010006,-0.000000,0.000000,0.000000,-0.000000,0.385998,-0.689998,0.097994,-3.141583,0.000008,0.000002
0.044312,0.010006,-0.010010,-0.000000,0.000000,0.000000,-0.000000,0.385996,-0.689996,0.097990,-3.141579,0.000011,0.000002
0.048274,0.010007,-0.010013,-0.000000,0.000000,0.000000,-0.000000,0.386000,-0.689989,0.097984,-3.141577,0.000013,0.000005
0.052277,0.010015,-0.010025,-0.000001,0.000000,0.000000,-0.000000,0.386001,-0.689980,0.097972,-3.141568,0.000021,0.000007
0.056226,0.010017,-0.010030,-0.000001,0.000000,0.000000,-0.000000,0.386006,-0.689963,0.097960,-3.141565,0.000024,0.000018
0.060278,0.010021,-0.010036,-0.000001,0.000000,0.000000,-0.000000,0.386014,-0.689940,0.097941,-3.141560,0.000028,0.000025
