epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,506.32,1.54952,1.21761,0.94853,0.7756,0.67462,0.78422,0.40447,1.49979,1.7196,1.11377,0.005842,0.005842,0.005842
44,518.55,1.29188,1.13907,1.00116,0.86407,0.6868,0.84886,0.44949,1.45237,1.83835,1.09507,0.005743,0.005743,0.005743
45,528.924,1.40128,1.08325,0.95304,0.84151,0.78728,0.8935,0.46581,1.48782,1.56792,1.10585,0.005644,0.005644,0.005644
46,541.22,1.44035,1.18766,0.93954,0.92491,0.73576,0.90502,0.51965,1.4439,1.44305,1.09477,0.005545,0.005545,0.005545
47,553.578,1.30872,1.04981,0.91882,0.86808,0.82,0.90374,0.46733,1.50942,1.54256,1.11848,0.005446,0.005446,0.005446
48,565.858,1.32362,1.0896,0.91799,0.89714,0.74086,0.88554,0.4702,1.46153,1.46825,1.11051,0.005347,0.005347,0.005347
49,578.06,1.38304,1.04259,0.93848,0.9035,0.70618,0.86916,0.44098,1.46157,1.55907,1.1236,0.005248,0.005248,0.005248
50,590.32,1.32857,1.11393,0.96345,0.89341,0.69058,0.88218,0.51623,1.40246,1.51988,1.10682,0.005149,0.005149,0.005149
51,600.716,1.39005,1.05305,0.9326,0.82504,0.83139,0.87172,0.44324,1.48066,1.45378,1.11801,0.00505,0.00505,0.00505
52,611.11,1.33546,1.12086,0.91337,0.88764,0.8081,0.88981,0.49715,1.44173,1.43995,1.12828,0.004951,0.004951,0.004951
53,621.467,1.38899,1.09325,0.89941,0.90242,0.78239,0.89648,0.45924,1.45417,1.42264,1.12313,0.004852,0.004852,0.004852
54,632.042,1.30464,1.00532,0.90477,0.92251,0.76187,0.90524,0.49602,1.42144,1.4335,1.12122,0.004753,0.004753,0.004753
55,642.583,1.3824,1.02301,0.92223,0.9489,0.74461,0.91885,0.47764,1.48513,1.41715,1.11665,0.004654,0.004654,0.004654
56,653.001,1.25102,1.0836,0.93419,0.88434,0.7839,0.91086,0.49479,1.44637,1.4162,1.12531,0.004555,0.004555,0.004555
57,663.434,1.33694,0.95902,0.90041,0.87238,0.80803,0.90582,0.4631,1.53715,1.37456,1.13414,0.004456,0.004456,0.004456
58,673.776,1.32651,1.0105,0.94225,0.87514,0.83148,0.92403,0.5161,1.41285,1.34931,1.10503,0.004357,0.004357,0.004357
59,684.285,1.2007,0.93423,0.91036,0.91647,0.78689,0.9065,0.46048,1.51037,1.45233,1.13097,0.004258,0.004258,0.004258
60,694.656,1.31567,1.00639,0.95644,0.87207,0.83252,0.92491,0.5323,1.4302,1.35685,1.1106,0.004159,0.004159,0.004159
61,705.272,1.39248,0.94851,0.93008,0.88665,0.81961,0.92291,0.48048,1.48966,1.36788,1.12787,0.00406,0.00406,0.00406
62,715.684,1.37053,0.98634,0.93228,0.92822,0.77688,0.91466,0.49706,1.43993,1.34929,1.0992,0.003961,0.003961,0.003961
63,726.034,1.23541,1.0231,0.93652,0.92613,0.79521,0.92359,0.502,1.50821,1.34066,1.1266,0.003862,0.003862,0.003862
64,736.414,1.1921,0.91899,0.88336,0.85778,0.82602,0.89157,0.47367,1.48741,1.36438,1.10855,0.003763,0.003763,0.003763
65,746.876,1.27695,0.89922,0.934,0.88612,0.81905,0.88776,0.47783,1.46788,1.39671,1.09772,0.003664,0.003664,0.003664
66,757.248,1.21062,0.92126,0.90769,0.94052,0.81666,0.90941,0.53159,1.39387,1.34579,1.08037,0.003565,0.003565,0.003565
67,767.574,1.25825,0.90278,0.89081,0.88283,0.88357,0.91132,0.4754,1.44973,1.33732,1.09419,0.003466,0.003466,0.003466
68,779.901,1.22604,0.87328,0.90805,0.9122,0.87373,0.915,0.51381,1.42062,1.31701,1.08978,0.003367,0.003367,0.003367
69,790.538,1.26768,0.94397,0.93804,0.86847,0.85888,0.89658,0.49631,1.47254,1.376,1.0995,0.003268,0.003268,0.003268
70,801.077,1.23012,0.9031,0.92379,0.89926,0.76929,0.88738,0.482,1.46936,1.38599,1.09623,0.003169,0.003169,0.003169
71,811.439,1.23985,0.99939,0.88741,0.90927,0.75352,0.87974,0.46512,1.50735,1.40192,1.10198,0.00307,0.00307,0.00307
72,821.777,1.32511,0.94121,0.94603,0.93866,0.76991,0.88617,0.49772,1.39645,1.38497,1.07278,0.002971,0.002971,0.002971
73,832.177,1.18495,0.88914,0.92118,0.86027,0.79261,0.87047,0.48017,1.43217,1.40497,1.07563,0.002872,0.002872,0.002872
74,842.601,1.22072,0.8665,0.898,0.88595,0.79741,0.89398,0.52061,1.36409,1.34453,1.0637,0.002773,0.002773,0.002773
75,854.79,1.27248,0.88674,0.8916,0.91599,0.81771,0.91255,0.50869,1.38486,1.30419,1.06634,0.002674,0.002674,0.002674
76,865.134,1.13608,0.82916,0.89551,0.89232,0.82136,0.90988,0.5174,1.40234,1.31868,1.06765,0.002575,0.002575,0.002575
77,877.452,1.19208,0.88153,0.88934,0.89045,0.87847,0.91739,0.52924,1.34549,1.29142,1.05114,0.002476,0.002476,0.002476
78,889.699,1.13328,0.86599,0.87941,0.88132,0.80671,0.89782,0.5003,1.38107,1.38019,1.0564,0.002377,0.002377,0.002377
79,901.947,1.16496,0.88518,0.92919,0.88523,0.81426,0.9079,0.52724,1.35829,1.40579,1.05331,0.002278,0.002278,0.002278
80,914.094,1.07738,0.85457,0.89773,0.86966,0.75409,0.88198,0.48216,1.39866,1.49305,1.06531,0.002179,0.002179,0.002179
